"OHIO, INDIANA, MICHIGAN, MISSOURI, PENNSYLVIANIA, WISCONSIN",,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ","Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],[Money amounts are in thousands of dollars],,,
State,"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns,Percentage
,,,,
Ohio,16,"$1 under $10,000","46,970",12.41311874
Ohio,16,"$10,000 under $25,000","61,430",16.2345728
Ohio,16,"$25,000 under $50,000","86,950",22.97893708
Ohio,16,"$50,000 under $75,000","61,700",16.30592775
Ohio,16,"$75,000 under $100,000","41,970",11.09173075
Ohio,16,"$100,000 under $200,000","58,350",15.4205978
Ohio,16,"$200,000 under $500,000","14,450",3.818811279
Ohio,16,"$500,000 or more","2,850",0.753191152
,,,,
Indiana,1,,"339,360",100
Indiana,1,Under $1,"3,150",0.928217822
Indiana,1,"$1 under $10,000","48,860",14.39768977
Indiana,1,"$10,000 under $25,000","70,630",20.81270627
Indiana,1,"$25,000 under $50,000","74,140",21.84700613
Indiana,1,"$50,000 under $75,000","46,680",13.7553041
Indiana,1,"$75,000 under $100,000","34,080",10.04243281
Indiana,1,"$100,000 under $200,000","50,890",14.99587459
Indiana,1,"$200,000 under $500,000","9,320",2.746346063
Indiana,1,"$500,000 or more","1,610",0.474422442
,,,,
Indiana,2,,"336,900",100
Indiana,2,Under $1,"3,730",1.107153458
Indiana,2,"$1 under $10,000","50,340",14.94211932
Indiana,2,"$10,000 under $25,000","66,670",19.78925497
Indiana,2,"$25,000 under $50,000","89,320",26.5123182
Indiana,2,"$50,000 under $75,000","51,080",15.16176907
Indiana,2,"$75,000 under $100,000","31,670",9.400415554
Indiana,2,"$100,000 under $200,000","34,920",10.3650935
Indiana,2,"$200,000 under $500,000","7,260",2.154942119
Indiana,2,"$500,000 or more","1,910",0.566933808
,,,,
Indiana,3,,"353,730",100
Indiana,3,Under $1,"3,830",1.082746728
Indiana,3,"$1 under $10,000","52,460",14.83052045
Indiana,3,"$10,000 under $25,000","68,380",19.33112826
Indiana,3,"$25,000 under $50,000","90,640",25.62406355
Indiana,3,"$50,000 under $75,000","53,110",15.01427643
Indiana,3,"$75,000 under $100,000","35,010",9.897379357
Indiana,3,"$100,000 under $200,000","40,180",11.35894609
Indiana,3,"$200,000 under $500,000","8,030",2.270093009
